18:30:01 | +0.86s | MainThread | INFO | Reproduciendo fragmento 1
18:30:01 | +0.86s | tts_0 | INFO | Generando fragmento 2
18:30:02 | +1.42s | tts_0 | INFO | Fragmento 2 listo: fragmento_002.wav
18:30:02 | +1.42s | tts_0 | INFO | Generando fragmento 3
18:30:02 | +1.86s | tts_0 | INFO | Fragmento 3 listo: fragmento_003.wav
18:30:02 | +1.86s | tts_0 | INFO | Generando fragmento 4
18:30:03 | +2.28s | tts_0 | INFO | Fragmento 4 listo: fragmento_004.wav
18:30:11 | +10.84s | MainThread | INFO | Termino fragmento 1
18:30:11 | +10.84s | MainThread | INFO | Reproduciendo fragmento 2
18:30:11 | +10.84s | tts_0 | INFO | Generando fragmento 5
18:30:12 | +11.28s | tts_0 | INFO | Fragmento 5 listo: fragmento_005.wav
18:30:21 | +20.32s | MainThread | INFO | Termino fragmento 2
18:30:21 | +20.32s | MainThread | INFO | Reproduciendo fragmento 3
18:30:21 | +20.32s | tts_0 | INFO | Generando fragmento 6
18:30:21 | +20.74s | tts_0 | INFO | Fragmento 6 listo: fragmento_006.wav
18:30:22 | +21.36s | MainThread | INFO | Termino fragmento 3
18:30:22 | +21.36s | MainThread | INFO | Reproduciendo fragmento 4
18:30:22 | +21.36s | tts_0 | INFO | Generando fragmento 7
18:30:22 | +21.82s | tts_0 | INFO | Fragmento 7 listo: fragmento_007.wav
18:30:23 | +22.42s | MainThread | INFO | Termino fragmento 4
18:30:23 | +22.42s | MainThread | INFO | Reproduciendo fragmento 5
18:30:23 | +22.42s | tts_0 | INFO | Generando fragmento 8
18:30:23 | +22.87s | tts_0 | INFO | Fragmento 8 listo: fragmento_008.wav
18:30:24 | +23.46s | MainThread | INFO | Termino fragmento 5
18:30:24 | +23.46s | MainThread | INFO | Reproduciendo fragmento 6
18:30:24 | +23.46s | tts_0 | INFO | Generando fragmento 9
18:30:24 | +23.95s | tts_0 | INFO | Fragmento 9 listo: fragmento_009.wav
18:30:25 | +24.51s | MainThread | INFO | Termino fragmento 6
18:30:25 | +24.51s | MainThread | INFO | Reproduciendo fragmento 7
18:30:25 | +24.51s | tts_0 | INFO | Generando fragmento 10
18:30:25 | +24.99s | tts_0 | INFO | Fragmento 10 listo: fragmento_010.wav
18:30:26 | +25.55s | MainThread | INFO | Termino fragmento 7
18:30:26 | +25.55s | MainThread | INFO | Reproduciendo fragmento 8
18:30:26 | +25.55s | tts_0 | INFO | Generando fragmento 11
18:30:27 | +26.05s | tts_0 | INFO | Fragmento 11 listo: fragmento_011.wav
18:30:27 | +26.60s | MainThread | INFO | Termino fragmento 8
18:30:27 | +26.60s | MainThread | INFO | Reproduciendo fragmento 9
18:30:28 | +27.72s | MainThread | INFO | Termino fragmento 9
18:30:28 | +27.72s | MainThread | INFO | Reproduciendo fragmento 10
18:30:29 | +28.76s | MainThread | INFO | Termino fragmento 10
18:30:29 | +28.76s | MainThread | INFO | Reproduciendo fragmento 11
18:30:30 | +29.87s | MainThread | INFO | Termino fragmento 11
